account,name,link
@andreajvaughan@techhub.social, Andrea Vaughan, https://techhub.social/web/@andreajvaughan
@attribot@scholar.social, Simon Kasper, https://scholar.social/@attribot
@heddwen@lingo.lol, Heddwen Newton, https://lingo.lol/@heddwen
@kprkr@sciences.social, Kellen Parker van Dam, https://sciences.social/web/@kprkr
@tomstewart@lingo.lol, Thomas Stewart, https://lingo.lol/web/@tomstewart
@alischinsky@sciences.social, Alon Lischinsky, https://sciences.social/web/@alischinsky
@bogiperson@wandering.shop, Bogi Takács Perelmutter, https://wandering.shop/web/@bogiperson
@ruchbah@mastodon.lol, Jon Herring, https://mastodon.lol/web/@ruchbah
@chasingsheep@mas.to, Meghan Hersh, https://mas.to/@chasingsheep
@na_sy_tr@lingo.lol, Nathan Dykes,https://lingo.lol/@na_sy_tr
@ebernardes@hcommons.social, Everton Bernardes, https://hcommons.social/@ebernardes
@ausir@meowr.me, Paweł Dembowski , https://https://meowr.me/@ausir
@ahnaphor@scicomm.xyz, Byron Ahn, https://scicomm.xyz/@ahnaphor
@phoneme@lingo.lol, Fred Mailhot, https://lingo.lol/web/@phoneme
@johanrooryck@mstdn.social, Johan Rooryck, https://mstdn.social/@johanrooryck 
@davidadger@mas.to, David Adger, https://mas.to/@davidadger
@lalexander@mastodon.world, Luke Alexander, https://mastodon.world/web/@lalexander
@amyp@mastodon.social, Antonio Machicao y Priemer, https://mastodon.social/@amyp
@arnicas@mstdn.social, Lynn Cherny, https://mstdn.social/@arnicas
@forensiclinguist@mastodon.online, Isabel Picornell, https://mastodon.online/@forensiclinguist
@gilaschauer@mastodon.social, Gila Schauer, https://mastodon.social/@gilaschauer
@janwo@linguisten.info, Jan Wohlgemuth, https://linguisten.info/@janwo
@adminuser@linguisten.info, Linguisten.de Forum, https://linguisten.info
@drswissmiss@toot.wales, Mercedes Durham, https://toot.wales/@drswissmiss
@glossa@hcommons.social, Glossa: a journal of general linguistics, https://hcommons.social/web/@glossa 
@michael@scholar.social, Michael Dunn, https://scholar.social/@michael
@tschfflr@fediscience.org, Tatjana Scheffler, https://fediscience.org/@tschfflr
@jik@mastodon.social, Jussi Karlgren, https://mastodon.social/@jik
@outdooracademic@mastodon.social, Antje Wilton, https://mastodon.social/outdooracademic 
@MurielN@fediscience.org, Muriel Norde, https://fediscience.org/web/@MurielN
@GeorgeWalkden@mastodon.online, George Walkden, https://mastodon.online/@GeorgeWalkden
@gCat@todon.eu, Gillian Ramchand, https://todon.eu/web/@gCat
@evazimmermann@mstdn.social, Eva Zimmermann, https://mstdn.social/@evazimmermann
@AngloPeranakan@lingo.lol, Guy Emerson, https://lingo.lol/web/@AngloPeranakan
@matti_on_ice@mastodonapp.uk, Matthew Whelpton, https://mastodonapp.uk/@matti_on_ice
@itovvmk@sigmoid.social, Viviane Ito, https://sigmoid.social/@itovvmk
@CerstinMahlow@qoto.org,Cerstin Mahlow,https://qoto.org/@CerstinMahlow
@lisa_b_davidson@lingo.lol, Lisa Davidson, https://lingo.lol/@lisa_b_davidson
@wayword@masthead.social, A Way with Words, https://masthead.social/@wayword
@elenasemino@mastodonapp.uk, Elena Semino, https://mastodonapp.uk/web/@elenasemino
@persophile@mstdn.science, David Moslehi, https://mstdn.science/@persophile
@mmeelen@scicomm.xyz, Marieke Meelen, https://scicomm.xyz/web/@mmeelen
@jverissimo@fediscience.org, João Veríssimo, https://fediscience.org/@jverissimo
@MaryWalworth@fediscience.org, Mary Walworth, https://fediscience.org/@MaryWalworth
@gabriella@fediscience.org, Gabriella Oliveira, https://fediscience.org/@gabriella
@andraas@mastodon.social,András Bárány,https://mastodon.social/@Andraas
@LukaHorjak@scholar.social, Luka Horjak, https://scholar.social/@LukaHorjak
@khia@hci.social, Khia Johnson, https://hci.social/@khia#
@sascha_wolfer@fediscience.org,Sascha Wolfer,https://fediscience.org/@sascha_wolfer
@dammant@mstdn.social, Antje Dammel, https://mstdn.social/@dammant
@hanna_schmueck@fediscience.org, Hanna Schmück, https://fediscience.org/web/@hanna_schmueck
@garicgymro@twt.cymru, Gareth Roberts, https://twt.cymru/@garicgymro
@JeroenSH@toot.community, Jeroen van de Weijer, https://toot.community
@xenia_ks@dizl.de, Xenia Schmalz, https://dizl.de/@xenia_ks
@beestween@ohai.social, Berit Johannsen, https://ohai.social/@beestween
@Kate_Sayers@sciences.social, Kate Sayers, https://sciences.social/web/@Kate_Sayers
@queerterpreter@lingo.lol, Ártemis López, https://lingo.lol/@queerterpreter
@benebular@mastodon.social, Ben Lang, https://mastodon.social/@benebular
@johnnyunger@scholar.social,Johnny Unger,https://scholar.social/@johnnyunger
@FrauSnippe@Newsie.social, Kristin Snippe, https://newsie.social/@FrauSnippe
@demigrigo@qoto.org, Dimitra Grigoriou, https://qoto.org/@demigrigo
@mjkammun@mastodon.green, Martin Kümmel, https://mastodon.green/@mjkammun
@thelonious@fosstodon.org, Ruben van de Vijver, https://fosstodon.org/@thelonious
@sandro_bachmann@swiss.social, Sandro Bachmann, https://swiss.social/@sandro_bachmann
@goberiko@climatejustice.social, Federico Gobbo, https://climatejustice.social/@goberiko
@robertadal@mastodon.uno, Roberta D'Alessandro, https://mastodon.uno/@robertadal
@anghyflawn@mastodon.scsot,Pavel Iosad,https://mastodon.scot/@anghyflawn
@paoloroseano.mastodon.uno, Paolo Roseano, https://mastodon.uno/@paoloroseano
@mncantarutti@mstdn.social, Marina Cantarutti, https://mstdn.social/@mncantarutti
@janesetter@sciences.social, Jane Setter, https://sciences.social/@janesetter
@clairenance@lingo.lol, Claire Nance, https://lingo.lol/@clairenance
@katking_fl@mastodon.online, Kat King, https://mastodon.online/@katking_fl
@faytak@mas.to, Matthew Faytak, https://mas.to/@faytak
@miglmarl@fedi.at, Marlene Miglbauer, https://fedi.at/@miglmarl
@emmamcc@mastodonapp.uk, Emma McClaughlin,https://mastodonapp.uk/@emmamcc
@twoerfel@mastodon.bildung.social, Till Woerfel, https://bildung.social/@twoerfel
@mariniceforo@climatejustice.social, Marina Niceforo, https://climatejustice.social/@mariniceforo
@sylviajaki@ohai.social, Sylvia Jaki, https://ohai.social/@sylviajaki
@nshchinov@urbanists.social, Nadezda Shchinova, https://urbanists.social/@nshchinov
@javier@lingo.lol, Javier Fernández Cruz, 
@hefrightbe@social.cologne, Brook Hefright,
@HadasKotek@tech.lgbt, Hadas Kotek, https://tech.lgbt/@HadasKotek
@MichaelErard@mastodon.social,, @michaelerard@lingo.lol
@ruthsinger@toot.community, Ruth Singer, https://toot.community/@ruthsinger
@serenissimaj@sciences.social,,
@raul_aranovich@sciences.social, Raúl Aranovich, https://sciences.social/@raul_aranovich
@rivaquiroga@mastodon.social, Riva Quiroga, https://mastodon.social/@rivaquiroga
@billy@mathstodon.xyz, Billy Woods, https://mathstodon.xyz/@billy
@linguistgoneforeign@mastodon.social, Linguist Gone Foreign, https://mastodon.social/@linguistgoneforeign
@beefgallo@home.social, maria goldshtein, https://home.social/@beefgallo @beefgallo@home.social
@katesteel@masto.ai, Kate Steel, https://masto.ai/@katesteel
@MorphoSyntaxJedi, Mike Putnam, https://masto.nu/@MorphoSyntaxJedi
@maitxinha@mastodon.lol, Maite Correa, https://mastodon.lol/@maitxinha
@nagaya@scholar.social, Naonori Nagaya, https://scholar.social/@nagaya
@jennycz@lingo.lol, Jen Nycz, https://lingo.lol/@jennycz
@begus@mastodon.social, Gasper Begus, https://mastodon.social/@begus
@philip@bildung.social, Philip Kraut, https://bildung.social/@philip
@RaffaellaBottini@sciences.social, Raffaella Bottini, https://sciences.social/@RaffaellaBottini
@williamjohnston@sciences.social, William Johnston, https://sciences.social/@williamjohnston 
@schrisomalis@mastodon.online, Stephen Chrisomalis, https://mastodon.online/@schrisomalis
@edwin_schmitt@mastodon.social, Edwin Schmitt, https://mastodon.social/@edwin_schmitt
@ElisabethWApicella@fediscience.org,Elisabeth W. Apicella,https://fediscience.org/@ElisabethWApicella
@kelseycampolong@mastodon.ie, Kelsey Campolong, https://mastodon.ie/@kelseycampolong
@lkl@universeodon.com,Laura K Lawless, https://universeodon.com/@lkl
@StefanMuelller@lingo.lol, Stefan Müller, https://lingo.lol/@StefanMuelller
